order_id	pickup_city	delivery_city	zone	order_time	package_weight_kg	vehicle_type	vehicle_capacity_kg	traffic_level	weather_condition	delivery_priority	distance_km	fuel_cost_estimate	driver_cost_estimate	delivery_cost	delivery_revenue	profit_per_delivery
2013	Bengaluru	Ahmedabad	north	02-03-2026 00:24	38.41	truck	50	medium	cloudy	high	32.36	84.95	35.94	120.89	215	94.11
2014	Ludhiana	Visakhapatnam	north	05-03-2026 00:56	45.91	bike	50	medium	cloudy	high	212.06	773.01	235.51	1008.52	1677.85	669.33
2015	Hyderabad	Nagpur	east	05-03-2026 20:10	30.96	truck	100	medium	fog	medium	571.52	1770.46	1121.55	2892.01	6678.62	3786.61
2016	Ahmedabad	Patna	central	01-03-2026 18:12	26.19	bike	1000	high	rain	high	796.44	2514.02	818.94	3332.96	8981	5648.04
2017	Ahmedabad	Kochi	north	05-03-2026 05:59	41.26	truck	1000	medium	fog	high	1368.44	3598.69	2173.58	5772.27	10695.15	4922.87
2018	Surat	Agra	east	06-03-2026 04:44	39.13	van	500	low	clear	low	924.64	3455.12	1506.61	4961.72	6571.09	1609.37
2019	Ranchi	Lucknow	north	05-03-2026 03:01	28.17	van	500	high	rain	high	1192.96	2474.97	1679.32	4154.29	11273.02	7118.73
2020	Lucknow	Kolkata	east	01-03-2026 17:10	48.34	bike	1000	medium	cloudy	high	389.99	1477.29	481.68	1958.97	3733.74	1774.78
2021	Chandigarh	Bengaluru	south	06-03-2026 11:38	44.53	van	1000	low	rain	low	1221.85	2826.85	1389.62	4216.46	10147.45	5930.98
2022	Bengaluru	Lucknow	north	03-03-2026 18:17	47.57	truck	1000	medium	clear	high	776.94	2356.39	1442.8	3799.19	5059.21	1260.02
2023	Coimbatore	Jaipur	south	04-03-2026 13:44	12.45	van	1000	high	fog	low	1441.65	3187.74	2013.62	5201.36	16660.45	11459.09
2024	Agra	Gurgaon	east	01-03-2026 11:38	0.79	van	1000	medium	rain	high	1391.27	3472	2588.24	6060.24	13009.83	6949.59
2025	Bengaluru	Nagpur	south	03-03-2026 13:31	43.21	bike	1000	low	clear	high	741.22	1521.72	1456.46	2978.19	8572.19	5594.01
2026	Chandigarh	Hyderabad	north	05-03-2026 08:22	8.44	van	100	high	clear	high	1429.94	2939.11	2552.36	5491.47	16394.19	10902.72
2027	Indore	Chennai	west	01-03-2026 22:52	8.27	bike	50	medium	clear	medium	1173.56	2726.51	1811.99	4538.5	12508.79	7970.29
2028	Chandigarh	Raipur	west	04-03-2026 02:24	40.09	bike	100	medium	fog	medium	605.08	1552.77	921.4	2474.17	3705.08	1230.91
2029	Agra	Bengaluru	central	05-03-2026 06:51	46.32	truck	100	medium	clear	medium	973.17	2355.63	1735.84	4091.47	7765.8	3674.34
2030	Hyderabad	Raipur	south	01-03-2026 17:28	43.29	van	100	medium	cloudy	low	232.41	592.56	447.97	1040.52	2337.59	1297.07
2031	Raipur	Gurgaon	west	06-03-2026 00:02	28.05	van	500	low	cloudy	high	1248.2	2620.4	1677.96	4298.35	9601.64	5303.29
2032	Bhopal	Delhi	north	01-03-2026 14:53	37.3	van	100	medium	fog	high	754.77	2700.35	1436.66	4137.01	8714.48	4577.47
2033	Lucknow	Pune	east	06-03-2026 07:34	14.38	van	1000	low	fog	low	1261.58	4184.95	2314.12	6499.07	13646.73	7147.66
2034	Raipur	Ghaziabad	north	04-03-2026 06:26	24.01	bike	500	medium	clear	medium	319.33	658.12	390.99	1049.11	2399.52	1350.41
2035	Gurgaon	Ranchi	central	06-03-2026 14:54	10.5	bike	50	high	cloudy	low	1248.15	4385.69	1339.21	5724.9	12382.1	6657.2
2036	Ludhiana	Coimbatore	south	02-03-2026 18:55	11.53	van	50	high	cloudy	low	703.13	1592.5	987.03	2579.53	4756.47	2176.93
2037	Ranchi	Varanasi	east	02-03-2026 01:18	37.28	truck	500	medium	cloudy	low	230.68	651.78	362.79	1014.57	2292.84	1278.27
2038	Indore	Ahmedabad	south	06-03-2026 09:09	10.55	truck	1000	low	cloudy	high	962.85	2272.14	1675.65	3947.79	9267.7	5319.91
2039	Bhopal	Ludhiana	south	01-03-2026 21:56	7.42	bike	1000	low	fog	medium	1341.99	4601.89	1916.07	6517.95	11710.33	5192.38
2040	Bhopal	Gurgaon	central	06-03-2026 15:40	27.62	van	500	medium	fog	high	934.4	3494.64	1529.63	5024.28	9256.67	4232.4
2041	Gurgaon	Lucknow	east	01-03-2026 08:10	8.07	van	500	low	fog	medium	1399.78	5165.14	1434.22	6599.36	9971.59	3372.23
2042	Ludhiana	Bhopal	west	01-03-2026 12:41	47.88	truck	100	high	fog	low	535.37	1592.18	709.22	2301.39	6397.52	4096.13
2043	Kanpur	Hyderabad	west	03-03-2026 04:20	27.48	van	1000	high	cloudy	low	201.87	478.33	266.33	744.66	1778.52	1033.85
2044	Agra	Ghaziabad	north	04-03-2026 01:00	36.76	truck	1000	medium	rain	low	1169.13	3363.89	1465.7	4829.59	12525.42	7695.83
2045	Amritsar	Faridabad	east	02-03-2026 21:05	31.71	van	500	low	clear	high	1194.23	3795.21	1207.42	5002.63	8596.92	3594.29
2046	Kolkata	Visakhapatnam	south	04-03-2026 15:58	22.84	truck	50	low	rain	medium	573.79	1969.57	772.66	2742.23	4215.31	1473.08
2047	Bengaluru	Faridabad	south	04-03-2026 22:32	45.81	van	500	low	fog	high	1001.04	2487.44	1969.61	4457.06	9726.76	5269.7
2048	Amritsar	Agra	south	06-03-2026 13:31	33.23	van	50	low	fog	medium	418.6	1063.55	709.35	1772.89	3056.15	1283.26
2049	Surat	Delhi	north	05-03-2026 16:51	30.46	truck	1000	high	rain	medium	995.63	2663.32	1683.82	4347.14	11559.51	7212.37
2050	Hyderabad	Hyderabad	north	04-03-2026 22:34	41.41	bike	100	low	cloudy	medium	231.99	602.05	307.59	909.65	2460.14	1550.49
2051	Gurgaon	Raipur	west	03-03-2026 23:21	37.19	bike	50	high	fog	low	341.83	911.6	660.04	1571.64	3708.54	2136.9
2052	Mumbai	Indore	east	01-03-2026 09:27	16.33	truck	100	medium	rain	low	336.67	1212.95	460.43	1673.38	2365.27	691.89
2053	Chandigarh	Jaipur	east	06-03-2026 11:55	27.84	truck	1000	medium	rain	medium	328.6	1222.57	422.43	1645	2390.7	745.69
2054	Noida	Delhi	south	05-03-2026 14:49	29.39	bike	50	low	rain	high	1153.88	2403.96	2254.01	4657.97	11515.98	6858.02
2055	Kochi	Noida	north	06-03-2026 00:11	14.5	truck	100	low	clear	low	1262.29	3148.77	1668.73	4817.5	13078.06	8260.56
2056	Ahmedabad	Kolkata	east	04-03-2026 11:28	29.18	truck	50	high	fog	medium	15.21	54.29	15.63	69.91	94.11	24.2
2057	Amritsar	Patna	south	04-03-2026 15:08	42.75	van	100	medium	rain	medium	1488.11	5281.06	1631.62	6912.68	9413.99	2501.31
2058	Coimbatore	Bhopal	west	06-03-2026 18:58	43.29	van	100	high	clear	high	636.79	1567.63	996.56	2564.18	4282.02	1717.84
2059	Indore	Chennai	central	03-03-2026 15:22	3.32	bike	100	high	clear	medium	1499.05	4937.06	2002.92	6939.98	17545.08	10605.1
2060	Chennai	Varanasi	south	02-03-2026 07:26	4.53	van	500	medium	rain	high	1418.09	4598.34	2225.33	6823.67	13614.6	6790.92
2061	Surat	Faridabad	central	03-03-2026 21:38	32.82	truck	100	medium	rain	high	1466.96	5664.8	2712.39	8377.19	10878.56	2501.36
2062	Chandigarh	Gurgaon	south	01-03-2026 20:44	2.4	truck	500	medium	fog	medium	711.41	1625.18	1350.89	2976.07	8386.35	5410.28
2063	Kolkata	Raipur	west	02-03-2026 02:44	36.8	van	100	high	rain	medium	1205.86	2995.96	1360.58	4356.54	7823.5	3466.95
2064	Bhopal	Patna	west	03-03-2026 07:41	43.4	van	500	high	clear	high	1182.55	2959.88	2290.5	5250.38	12379.27	7128.88
2065	Bengaluru	Jaipur	central	02-03-2026 23:42	49.5	truck	1000	medium	clear	low	796.63	2957.72	876.36	3834.08	8333.3	4499.22
2066	Kolkata	Surat	central	06-03-2026 19:16	34.61	bike	1000	medium	clear	medium	1168.14	3804.55	2328.41	6132.96	8902.58	2769.62
2067	Faridabad	Raipur	east	05-03-2026 15:18	30.67	van	100	low	cloudy	high	736.57	2807.75	752.26	3560.01	5031.65	1471.64
2068	Lucknow	Jaipur	central	01-03-2026 15:05	14.37	van	100	medium	cloudy	low	1388.5	3617.66	2093.39	5711.04	11197.03	5485.99
2069	Chandigarh	Ghaziabad	central	06-03-2026 19:58	19.52	truck	1000	high	clear	low	304.32	785.57	488.2	1273.77	3007.01	1733.24
2070	Amritsar	Gurgaon	north	02-03-2026 16:27	4.86	van	50	high	clear	medium	709.26	1722.92	1307.97	3030.88	4405.22	1374.34
2071	Nagpur	Amritsar	south	03-03-2026 10:42	48.32	truck	500	medium	cloudy	high	872.47	2505.72	1163.74	3669.46	7107.67	3438.21
2072	Hyderabad	Chandigarh	north	05-03-2026 22:17	7.01	truck	500	low	cloudy	low	125.2	274.42	159.47	433.89	1005.26	571.37
2073	Raipur	Delhi	west	03-03-2026 13:59	28.38	van	500	low	cloudy	medium	940.5	2525.81	1775.36	4301.16	7499.89	3198.72
2074	Kolkata	Nagpur	east	05-03-2026 17:33	18.12	bike	500	high	rain	low	1383.07	3553.08	1652.97	5206.05	14839.4	9633.35
2075	Visakhapatnam	Mumbai	east	03-03-2026 03:49	2.66	bike	100	high	cloudy	medium	871.73	2791.09	1167.81	3958.9	7605.33	3646.43
2076	Mumbai	Mumbai	east	03-03-2026 06:43	8.93	bike	100	high	fog	high	532.32	2038.71	762.94	2801.65	4683.88	1882.23
2077	Delhi	Faridabad	central	06-03-2026 20:35	30.3	bike	50	high	clear	medium	1383.3	4084.06	2641.8	6725.85	10698.31	3972.46
2078	Varanasi	Amritsar	central	06-03-2026 08:50	18.7	truck	100	low	clear	medium	1231.42	2837.33	2175.92	5013.25	13037.47	8024.22
2079	Raipur	Bengaluru	central	02-03-2026 00:14	26.78	bike	50	medium	clear	medium	1128.2	3744.66	1616.65	5361.3	12935.31	7574.01
2080	Kanpur	Delhi	central	03-03-2026 19:23	33.29	truck	50	high	fog	high	291.33	1121.26	337.76	1459.02	2994.05	1535.03
2081	Pune	Nagpur	west	03-03-2026 10:41	37.92	bike	50	medium	fog	medium	1290.4	3044.84	2324.8	5369.64	10751.03	5381.4
2082	Visakhapatnam	Lucknow	north	06-03-2026 15:56	41.87	bike	500	low	rain	low	699.45	1779.32	1124.56	2903.88	4913.68	2009.8
2083	Patna	Ghaziabad	south	05-03-2026 06:54	48.8	van	50	high	rain	high	1424.13	3055.4	1752.19	4807.59	9175.21	4367.62
2084	Patna	Surat	west	05-03-2026 09:05	19.87	van	50	low	fog	high	196.38	596.81	227.74	824.55	2121.46	1296.92
2085	Faridabad	Jaipur	central	05-03-2026 06:41	34.12	bike	500	low	clear	low	967.35	2337.25	1669.36	4006.61	9140.41	5133.8
2086	Faridabad	Visakhapatnam	north	04-03-2026 23:34	20.04	truck	50	high	rain	medium	704.04	1886.8	1260.92	3147.72	7150.05	4002.34
2087	Chennai	Surat	south	03-03-2026 10:39	33.04	bike	1000	low	clear	high	1421.2	3531.55	2033	5564.55	16350.31	10785.76
2088	Surat	Raipur	west	01-03-2026 23:01	5.85	truck	500	medium	cloudy	medium	960.48	3607.75	1141.31	4749.05	9706.47	4957.41
2089	Ludhiana	Agra	central	03-03-2026 17:39	30.81	van	1000	high	cloudy	low	382.72	1516.29	756.13	2272.41	3450.83	1178.42
2090	Bengaluru	Noida	west	06-03-2026 01:10	1.49	bike	50	low	rain	high	1392.52	3526.89	2682.84	6209.73	10420.98	4211.25
2091	Surat	Ahmedabad	north	06-03-2026 16:11	20.57	bike	500	low	rain	low	780.11	2696.03	1344.88	4040.91	6909.35	2868.44
2092	Jaipur	Ahmedabad	west	04-03-2026 03:07	39.05	van	100	low	cloudy	medium	358.55	1122.24	588.59	1710.83	2750.02	1039.19
2093	Raipur	Ranchi	east	06-03-2026 06:50	19.42	van	1000	low	rain	low	903.88	2303.61	1701.19	4004.8	9091.9	5087.1
2094	Noida	Jaipur	west	04-03-2026 14:44	22.56	bike	50	low	clear	high	525.21	1802	903.37	2705.37	5043.33	2337.96
2095	Jaipur	Varanasi	west	02-03-2026 07:23	19.4	truck	50	low	rain	low	481.93	1912.26	853.46	2765.73	4274.98	1509.25
2096	Bengaluru	Pune	south	04-03-2026 12:00	22.86	van	500	high	clear	high	1259.98	4084.33	2323.64	6407.97	14922.42	8514.46
2097	Coimbatore	Bhopal	west	01-03-2026 17:32	16.23	bike	100	low	fog	low	689.39	1753.25	1236.66	2989.9	6574.98	3585.07
2098	Indore	Chennai	central	05-03-2026 06:25	37.5	truck	500	low	clear	low	729.46	1650.42	1148.33	2798.75	8709.57	5910.82
2099	Nagpur	Ahmedabad	central	02-03-2026 16:57	3.48	bike	50	medium	rain	high	141.72	416.27	279.2	695.47	1632.47	937
2100	Indore	Lucknow	central	01-03-2026 10:34	9.91	bike	100	high	cloudy	low	1208.19	4460.05	1391.55	5851.6	9744.57	3892.98
2101	Noida	Agra	central	06-03-2026 08:59	48.32	van	500	high	cloudy	medium	916.06	2115.23	1006.76	3121.99	10303.95	7181.96
2102	Gurgaon	Visakhapatnam	south	02-03-2026 02:30	15	truck	1000	high	cloudy	medium	934.07	2562.02	1212.69	3774.72	6875.67	3100.95
2103	Coimbatore	Agra	east	03-03-2026 02:39	45.94	bike	1000	low	cloudy	medium	734.25	2342.98	1036.03	3379.01	6665.36	3286.35
2104	Faridabad	Raipur	west	06-03-2026 08:15	31.05	van	100	high	cloudy	low	698.75	2182.26	1388.19	3570.44	7309.69	3739.25
2105	Coimbatore	Hyderabad	east	05-03-2026 14:16	41.75	truck	1000	high	fog	medium	1182.36	2918.55	1999.68	4918.24	14150.03	9231.79
2106	Ahmedabad	Delhi	north	04-03-2026 19:37	24.83	van	100	low	rain	high	1287.65	3668.2	1345.65	5013.86	13253.43	8239.57
2107	Mumbai	Bhopal	east	05-03-2026 11:02	32.77	van	100	low	cloudy	medium	696.2	1924.17	1295.34	3219.51	7593.18	4373.67
2108	Gurgaon	Chennai	south	01-03-2026 17:29	34.78	bike	500	high	clear	high	163.97	514.57	243	757.56	1790.96	1033.39
2109	Nagpur	Kochi	north	02-03-2026 20:13	18.9	truck	1000	low	rain	high	223.63	607.63	277.34	884.97	2393.65	1508.68
2110	Bhopal	Patna	east	06-03-2026 06:49	20.79	bike	1000	high	rain	high	361.91	804.57	547.48	1352.05	2627.18	1275.13
2111	Raipur	Faridabad	east	06-03-2026 21:17	7.27	truck	500	low	rain	medium	78.44	239.57	116.47	356.04	657.47	301.43
2112	Varanasi	Pune	central	04-03-2026 03:07	41.54	truck	100	high	clear	medium	63.72	168.35	103.27	271.62	573.59	301.97
2113	Raipur	Kolkata	east	02-03-2026 11:20	40.17	van	500	high	clear	medium	313.84	1211.09	377.16	1588.25	3392.94	1804.69
2114	Delhi	Patna	central	05-03-2026 01:52	12.28	truck	500	low	fog	high	239.85	739.56	474.15	1213.71	1726.17	512.46
2115	Amritsar	Faridabad	central	04-03-2026 13:51	40.99	truck	1000	low	rain	medium	1070.42	3979.97	2127.38	6107.36	11372.84	5265.48
2116	Nagpur	Kolkata	east	05-03-2026 11:54	24.35	van	1000	low	cloudy	low	1148.56	3384.5	1583.19	4967.69	12695.52	7727.83
2117	Pune	Varanasi	central	03-03-2026 16:23	19.61	van	100	high	cloudy	low	1322.08	5008.66	2487.33	7495.99	8208.36	712.37
2118	Gurgaon	Mumbai	west	02-03-2026 23:26	30.22	truck	50	low	clear	medium	1111.2	2858.58	2159.97	5018.55	9767.1	4748.56
2119	Chennai	Agra	central	03-03-2026 12:20	24.59	bike	1000	medium	clear	low	1496.83	5412.96	2720.14	8133.1	12681.96	4548.86
2120	Bhopal	Faridabad	north	03-03-2026 01:03	16.93	bike	50	medium	cloudy	medium	1419.38	4035.59	1443.36	5478.95	9622.56	4143.62
2121	Coimbatore	Kanpur	north	04-03-2026 21:09	21.3	van	1000	medium	cloudy	low	790.05	2102.09	1276.54	3378.63	5165.65	1787.02
2122	Faridabad	Pune	central	04-03-2026 06:17	19	van	1000	medium	fog	low	172.75	357.58	218.1	575.68	1116.5	540.82
2123	Bhopal	Jaipur	west	04-03-2026 07:21	14.54	bike	100	low	fog	medium	717.17	2677.37	1433.67	4111.04	5166.84	1055.8
2124	Visakhapatnam	Kolkata	north	05-03-2026 12:38	3.62	truck	100	low	rain	medium	670.42	1635.55	826.33	2461.89	6283.91	3822.02
2125	Jaipur	Jaipur	north	02-03-2026 11:02	13.52	truck	50	medium	clear	low	815.81	2632.52	823.95	3456.47	8556.45	5099.98
2126	Surat	Faridabad	east	04-03-2026 17:55	19.75	van	100	high	rain	high	747.08	1853.49	832.15	2685.65	6704.88	4019.23
2127	Ahmedabad	Coimbatore	south	05-03-2026 15:16	43.42	bike	100	low	rain	high	946.13	2687.94	1002.6	3690.53	5863.73	2173.2
2128	Surat	Varanasi	north	04-03-2026 11:00	23.46	truck	1000	high	rain	low	1415.31	4871.97	2733.32	7605.29	11126.58	3521.28
2129	Amritsar	Kochi	north	04-03-2026 00:57	10.3	truck	1000	low	clear	medium	791.98	2488.41	1015.24	3503.65	9387.07	5883.42
2130	Bengaluru	Pune	central	04-03-2026 11:42	3.94	truck	1000	medium	rain	medium	423.9	868.27	754.84	1623.11	3096.75	1473.64
2131	Lucknow	Ahmedabad	north	02-03-2026 03:39	47.69	bike	500	low	cloudy	high	1240.49	2891.39	1858.79	4750.18	13251.59	8501.4
2132	Kolkata	Ghaziabad	south	03-03-2026 03:48	12.38	bike	500	medium	clear	medium	124.69	455.35	232.1	687.45	762.83	75.38
2133	Ghaziabad	Chennai	east	04-03-2026 21:04	28.17	bike	1000	medium	fog	low	1162.93	4145.4	2140.01	6285.41	12706.91	6421.5
2134	Lucknow	Coimbatore	south	01-03-2026 16:25	1.53	bike	100	low	rain	high	1132.57	3704.11	1777.43	5481.54	9676.85	4195.31
2135	Ludhiana	Chandigarh	west	06-03-2026 18:22	42.24	van	1000	low	fog	medium	608.78	1420.31	858.2	2278.51	6608.27	4329.76
2136	Ahmedabad	Patna	east	03-03-2026 08:09	48.44	bike	100	high	fog	high	1396.03	5030	2733.4	7763.4	9902.34	2138.94
2137	Kanpur	Hyderabad	north	05-03-2026 03:06	20.18	bike	100	medium	clear	medium	263.81	1019.03	392.39	1411.41	2806.79	1395.38
2138	Kolkata	Kochi	south	02-03-2026 23:54	31.28	bike	500	medium	clear	high	1320.26	3919.83	1527.06	5446.89	13631.46	8184.57
2139	Faridabad	Raipur	north	04-03-2026 14:35	5.84	truck	1000	high	cloudy	medium	1352.03	4951.64	2268.83	7220.47	9915.85	2695.39
2140	Faridabad	Faridabad	central	01-03-2026 21:22	24.33	van	50	medium	fog	high	681.8	2425.75	878.31	3304.05	5192.35	1888.3
2141	Jaipur	Delhi	north	04-03-2026 17:59	12.39	bike	100	low	cloudy	high	1449.62	5568.55	2485.08	8053.63	16192.08	8138.45
2142	Bhopal	Coimbatore	east	02-03-2026 13:47	38.02	bike	100	low	fog	medium	730.14	1553.91	1016.92	2570.83	5290.74	2719.91
2143	Mumbai	Visakhapatnam	east	03-03-2026 20:21	10.84	bike	100	medium	fog	low	1191.58	4437.22	1846.84	6284.06	7592.83	1308.77
2144	Kolkata	Chandigarh	south	06-03-2026 21:14	10.33	truck	50	medium	cloudy	low	567.69	1922.3	798.85	2721.15	4873.94	2152.78
2145	Ghaziabad	Kolkata	central	06-03-2026 14:40	31.62	bike	50	high	clear	medium	531.23	1938.1	797.5	2735.6	6013.99	3278.38
2146	Chennai	Bhopal	north	06-03-2026 10:56	13.72	van	500	high	clear	medium	1166.82	2335.22	2030.66	4365.88	8557.91	4192.03
2147	Gurgaon	Faridabad	east	06-03-2026 05:27	37.28	truck	500	medium	clear	medium	59.09	172.6	97.11	269.71	563.81	294.1
2148	Kanpur	Lucknow	north	02-03-2026 23:01	36.86	truck	500	high	rain	high	1370	5386.62	1702.45	7089.07	13610.33	6521.26
2149	Bengaluru	Indore	east	01-03-2026 19:03	23.53	truck	1000	high	rain	high	1468.98	5500.94	2004.82	7505.76	16129.99	8624.22
2150	Chandigarh	Hyderabad	north	02-03-2026 03:46	2.74	van	50	medium	cloudy	medium	750.31	2329.24	1439.9	3769.14	7502.92	3733.78
2151	Noida	Mumbai	south	03-03-2026 23:31	1.35	bike	500	high	fog	high	119.48	383.11	174.44	557.55	1127.28	569.73
2152	Pune	Bhopal	west	05-03-2026 16:34	2.47	bike	50	medium	cloudy	high	1275.88	4226.75	1844.78	6071.52	11197.64	5126.11
2153	Kanpur	Amritsar	central	02-03-2026 22:26	18.12	bike	1000	high	rain	low	117.36	338.76	215.45	554.21	1246.8	692.59
2154	Varanasi	Delhi	north	06-03-2026 21:10	11.64	truck	50	low	fog	high	915.83	2937.18	1339.09	4276.27	8335.44	4059.17
2155	Faridabad	Varanasi	south	03-03-2026 15:45	13.85	van	50	high	clear	medium	581.27	1205.5	628.05	1833.54	6290.32	4456.78
2156	Noida	Indore	central	03-03-2026 15:38	35.98	bike	100	low	cloudy	low	1401.05	2918.4	1602.55	4520.96	15149.95	10628.99
2157	Patna	Jaipur	central	05-03-2026 10:30	24.18	van	1000	medium	fog	high	672.01	2450.22	1194.22	3644.44	5487.65	1843.21
2158	Ranchi	Chandigarh	central	05-03-2026 17:34	17.45	truck	100	medium	rain	low	406.8	1163.04	739.95	1902.98	4620.24	2717.26
2159	Pune	Raipur	south	04-03-2026 15:06	46.26	truck	50	medium	rain	low	1140.12	4542.5	1754.21	6296.71	7950.22	1653.51
2160	Mumbai	Agra	central	05-03-2026 14:01	37.4	van	500	low	cloudy	medium	601.7	1542.5	1082.14	2624.64	4829.16	2204.52
2161	Kanpur	Chennai	central	01-03-2026 16:56	47.26	bike	50	low	rain	low	332.38	835.95	568.62	1404.57	2785.26	1380.69
2162	Delhi	Kanpur	north	01-03-2026 14:30	23.28	bike	500	low	fog	low	1093.73	2695.47	1873.99	4569.46	9519.98	4950.52
2163	Jaipur	Nagpur	west	02-03-2026 12:46	45.14	bike	100	high	rain	medium	365.26	1062.29	366.24	1428.54	3353.76	1925.23
2164	Kolkata	Surat	north	02-03-2026 18:31	38.91	bike	1000	high	clear	high	707.29	2379.77	1241.5	3621.27	6871.12	3249.85
2165	Kanpur	Varanasi	south	04-03-2026 03:15	10.39	truck	500	low	fog	medium	1189.71	4475.17	2128.05	6603.22	8504.96	1901.74
2166	Faridabad	Kochi	east	04-03-2026 16:36	6.35	van	1000	low	rain	medium	422.61	913.86	755.73	1669.6	3444.45	1774.86
2167	Ranchi	Visakhapatnam	north	06-03-2026 16:49	34.03	bike	1000	high	cloudy	medium	865.71	2098.08	1144.36	3242.45	8453.45	5211
2168	Amritsar	Lucknow	south	01-03-2026 15:06	7.55	van	50	medium	cloudy	medium	624.62	2479.44	819.37	3298.82	6721.24	3422.43
2169	Chennai	Amritsar	west	04-03-2026 01:30	47.13	truck	50	low	clear	high	89.61	216.08	92.9	308.98	744.63	435.65
2170	Chandigarh	Visakhapatnam	west	06-03-2026 01:50	22.92	van	1000	high	clear	low	477.3	1105.17	496.54	1601.71	3648.84	2047.13
2171	Jaipur	Hyderabad	west	01-03-2026 19:24	28.13	van	500	low	rain	low	774.09	2408.13	936.43	3344.56	5392.72	2048.16
2172	Pune	Mumbai	north	06-03-2026 17:31	30.5	van	500	high	rain	medium	687.76	2446.51	1356.65	3803.17	6250.97	2447.81
2173	Kochi	Varanasi	central	01-03-2026 15:34	28.02	van	100	medium	clear	low	736.21	1684.36	1131.27	2815.63	7919.86	5104.23
2174	Pune	Chandigarh	north	03-03-2026 18:52	7.89	bike	500	low	clear	low	1035.68	2079.95	1665.1	3745.04	6611.32	2866.27
2175	Agra	Ghaziabad	south	04-03-2026 23:53	23.07	van	100	high	cloudy	high	1145.52	2890.27	2055.39	4945.66	13132.22	8186.56
2176	Bhopal	Mumbai	north	04-03-2026 03:04	28.51	van	100	medium	clear	low	1104.65	4124.44	1585.15	5709.59	13122.57	7412.99
2177	Patna	Patna	west	05-03-2026 03:14	33.4	truck	500	low	rain	low	673.44	1541.09	835.17	2376.26	7699.07	5322.81
2178	Kolkata	Visakhapatnam	south	04-03-2026 03:19	41.5	truck	1000	high	clear	low	755.95	2689.67	1220.12	3909.79	5656.74	1746.95
2179	Surat	Mumbai	north	02-03-2026 18:23	49.9	truck	100	low	clear	medium	279.05	914.5	314.07	1228.57	2767.4	1538.83
2180	Faridabad	Kolkata	west	04-03-2026 17:42	46.3	bike	500	low	fog	low	194.17	497.24	285.41	782.65	1265.75	483.09
2181	Ludhiana	Lucknow	west	02-03-2026 10:42	44.21	van	500	high	rain	low	1429.36	5630.35	1568.94	7199.29	13407.06	6207.77
2182	Agra	Lucknow	west	03-03-2026 05:09	46.56	bike	1000	medium	clear	high	30.51	94.41	45	139.4	306.6	167.2
2183	Gurgaon	Ranchi	south	02-03-2026 08:36	7.51	truck	1000	high	clear	high	932.37	2844.59	1836.34	4680.93	8312.32	3631.38
2184	Indore	Kochi	west	04-03-2026 12:06	3.32	van	50	medium	rain	high	536.25	1102.52	590.37	1692.89	6013.42	4320.52
2185	Chennai	Ranchi	west	03-03-2026 15:44	11.58	bike	500	medium	cloudy	medium	1179.57	4106.5	2212.81	6319.31	12295.25	5975.93
2186	Kochi	Kolkata	central	05-03-2026 14:00	19.24	truck	100	low	fog	medium	944.91	2362.46	1701.21	4063.68	9095.45	5031.77
